bee_sp,bee_common,Wikipedia,Canada_bee,Wikipedia_common,Canada_bee_common,picture_address
"Adela
septentrionella",Fairy longhorn moth,https://en.wikipedia.org/wiki/Adela_septentrionella,N/A,https://en.wikipedia.org/wiki/Adelidae,N/A,
"Agapostemon
texanus",Metallic green sweat bee,https://en.wikipedia.org/wiki/Agapostemon_texanus,"http://www.beesofcanada.com/species/agapostemon-texanus-cresson,-1872",https://en.wikipedia.org/wiki/Agapostemon,"http://www.beesofcanada.com/species/agapostemon-texanus-cresson,-1872",
"Agapostemon
virescens",Metallic green sweat bee,https://en.wikipedia.org/wiki/Agapostemon_virescens,"http://www.beesofcanada.com/species/agapostemon-virescens-(fabricius,-1775)",https://en.wikipedia.org/wiki/Agapostemon,"http://www.beesofcanada.com/species/agapostemon-virescens-(fabricius,-1775)",
"Andrena
aff. nasonii",Mining bee,https://en.wikipedia.org/wiki/Andrena_nasonii,http://www.beesofcanada.com/species/andrena-nasonii,https://en.wikipedia.org/wiki/Andrena,http://www.beesofcanada.com/species/andrena-nasonii,
"Andrena
amphibola",Mining bee,https://en.wikipedia.org/wiki/Andrena_amphibola,"http://www.beesofcanada.com/species/andrena-amphibola-(viereck,-1904)",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-amphibola-(viereck,-1904)",
"Andrena
angustella",Mining bee,https://en.wikipedia.org/wiki/Andrena_angustella,N/A,https://en.wikipedia.org/wiki/Andrena,N/A,
"Andrena
angustitarsata",Mining bee,https://en.wikipedia.org/wiki/Andrena_angustitarsata,"http://www.beesofcanada.com/species/andrena-angustitarsata-viereck,-1904",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-angustitarsata-viereck,-1904",
"Andrena
anisochlora",Mining bee,https://en.wikipedia.org/wiki/Andrena_anisochlora,"http://www.beesofcanada.com/species/andrena-anisochlora-cockerell,-1936",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-anisochlora-cockerell,-1936",
"Andrena
astragali",Mining bee,https://en.wikipedia.org/wiki/Andrena_astragali,"http://www.beesofcanada.com/species/andrena-astragali-viereck-and-cockerell,-1914",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-astragali-viereck-and-cockerell,-1914",
"Andrena
auricoma",Mining bee,https://en.wikipedia.org/wiki/Andrena_auricoma,"http://www.beesofcanada.com/species/andrena-auricoma-smith,-1879",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-auricoma-smith,-1879",
"Andrena
buckelli",Mining bee,https://en.wikipedia.org/wiki/Andrena_buckelli,"http://www.beesofcanada.com/species/andrena-buckelli-viereck,-1924",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-buckelli-viereck,-1924",
"Andrena
caerulea",Mining bee,https://en.wikipedia.org/wiki/Andrena_caerulea,"http://www.beesofcanada.com/species/andrena-caerulea-smith,-1879",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-caerulea-smith,-1879",
"Andrena
candida",Mining bee,https://en.wikipedia.org/wiki/Andrena_candida,"http://www.beesofcanada.com/species/andrena-candida-smith,-1879",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-candida-smith,-1879",
"Andrena
chlorogaster",Mining bee,https://en.wikipedia.org/wiki/Andrena_chlorogaster,"http://www.beesofcanada.com/species/andrena-chlorogaster-viereck,-1904",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-chlorogaster-viereck,-1904",
"Andrena
chlorura",Mining bee,https://en.wikipedia.org/wiki/Andrena_chlorura,"http://www.beesofcanada.com/species/andrena-chlorura-cockerell,-1916-",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-chlorura-cockerell,-1916-",
"Andrena
crataegi",Mining bee,https://en.wikipedia.org/wiki/Andrena_crataegi,"http://www.beesofcanada.com/species/andrena-crataegi-robertson,-1893",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-crataegi-robertson,-1893",
"Andrena
cressonii",Mining bee,https://en.wikipedia.org/wiki/Andrena_cressonii,"http://www.beesofcanada.com/species/andrena-cressonii-infasciata-lanham,-1949",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-cressonii-infasciata-lanham,-1949",
"Andrena
cupreotincta",Mining bee,https://en.wikipedia.org/wiki/Andrena_cupreotincta,"http://www.beesofcanada.com/species/andrena-cupreotincta-cockerell,-1901",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-cupreotincta-cockerell,-1901",
"Andrena
evoluta",Mining bee,https://en.wikipedia.org/wiki/Andrena_evoluta,http://www.beesofcanada.com/species/andrena-evoluta-linsley-and-macswain-1961,https://en.wikipedia.org/wiki/Andrena,http://www.beesofcanada.com/species/andrena-evoluta-linsley-and-macswain-1961,
"Andrena
hemileuca",Mining bee,https://en.wikipedia.org/wiki/Andrena_hemileuca,"http://www.beesofcanada.com/species/andrena-hemileuca-viereck,-1904",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-hemileuca-viereck,-1904",
"Andrena
lupinorum",Mining bee,https://en.wikipedia.org/wiki/Andrena_lupinorum,"http://www.beesofcanada.com/species/andrena-lupinorum-cockerell,-1906",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-lupinorum-cockerell,-1906",
"Andrena
melanochroa",Mining bee,https://en.wikipedia.org/wiki/Andrena_melanochroa,"http://www.beesofcanada.com/species/andrena-melanochroa-cockerell,-1898",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-melanochroa-cockerell,-1898",
"Andrena
merriami",Mining bee,https://en.wikipedia.org/wiki/Andrena_merriami,"http://www.beesofcanada.com/species/andrena-merriami-cockerell,-1901",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-merriami-cockerell,-1901",
"Andrena
microchlora",Mining bee,https://en.wikipedia.org/wiki/Andrena_microchlora,"http://www.beesofcanada.com/species/andrena-microchlora-cockerell,-1922",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-microchlora-cockerell,-1922",
"Andrena
miserabilis",Mining bee,https://en.wikipedia.org/wiki/Andrena_miserabilis,"http://www.beesofcanada.com/species/andrena-miserabilis-cresson,-1872",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-miserabilis-cresson,-1872",
"Andrena
nigrihirta",Mining bee,https://en.wikipedia.org/wiki/Andrena_nigrihirta,"http://www.beesofcanada.com/species/andrena-nigrihirta-(ashmead,-1890)",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-nigrihirta-(ashmead,-1890)",
"Andrena
nigrocaerulea",Mining bee,https://en.wikipedia.org/wiki/Andrena_nigrocaerulea,http://www.beesofcanada.com/species/andrena-nigrocaerulea,https://en.wikipedia.org/wiki/Andrena,http://www.beesofcanada.com/species/andrena-nigrocaerulea,
"Andrena
nivalis",Mining bee,https://en.wikipedia.org/wiki/Andrena_nivalis,"http://www.beesofcanada.com/species/andrena-nivalis-smith,-1853",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-nivalis-smith,-1853",
"Andrena
pallidifovea",Mining bee,https://en.wikipedia.org/wiki/Andrena_pallidifovea,http://www.beesofcanada.com/species/andrena-pallidifovea,https://en.wikipedia.org/wiki/Andrena,http://www.beesofcanada.com/species/andrena-pallidifovea,
"Andrena
perplexa",Mining bee,https://en.wikipedia.org/wiki/Andrena_perplexa,"http://www.beesofcanada.com/species/andrena-perplexa-smith,-1853",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-perplexa-smith,-1853",
"Andrena
prunorum",Mining bee,https://en.wikipedia.org/wiki/Andrena_prunorum,"http://www.beesofcanada.com/species/andrena-prunorum-prunorum-cockerell,-1896",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-prunorum-prunorum-cockerell,-1896",
"Andrena
rufosignata",Mining bee,https://en.wikipedia.org/wiki/Andrena_rufosignata,"http://www.beesofcanada.com/species/andrena-rufosignata-cockerell,-1902",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-rufosignata-cockerell,-1902",
"Andrena
saccata",Mining bee,https://en.wikipedia.org/wiki/Andrena_saccata,"http://www.beesofcanada.com/species/andrena-saccata-viereck,-1904",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-saccata-viereck,-1904",
"Andrena
salicifloris",Mining bee,https://en.wikipedia.org/wiki/Andrena_salicifloris,"http://www.beesofcanada.com/species/andrena-salicifloris-cockerell,-1897",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-salicifloris-cockerell,-1897",
"Andrena
schuhi",Mining bee,https://en.wikipedia.org/wiki/Andrena_schuhi,"http://www.beesofcanada.com/species/andrena-schuhi-laberge,-1980",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-schuhi-laberge,-1980",
"Andrena
scurra",Mining bee,https://en.wikipedia.org/wiki/Andrena_scurra,"http://www.beesofcanada.com/species/andrena-scurra-viereck,-1904",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-scurra-viereck,-1904",
"Andrena
sladeni",Mining bee,https://en.wikipedia.org/wiki/Andrena_sladeni,"http://www.beesofcanada.com/species/andrena-sladeni-viereck,-1924",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-sladeni-viereck,-1924",
"Andrena
sola",Mining bee,https://en.wikipedia.org/wiki/Andrena_sola,"http://www.beesofcanada.com/species/andrena-sola-viereck,-1917",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-sola-viereck,-1917",
"Andrena
subtilis",Mining bee,https://en.wikipedia.org/wiki/Andrena_subtilis,"http://www.beesofcanada.com/species/andrena-subtilis-smith,-1879",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-subtilis-smith,-1879",
"Andrena
transnigra",Mining bee,https://en.wikipedia.org/wiki/Andrena_transnigra,"http://www.beesofcanada.com/species/andrena-transnigra-viereck,-1904",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-transnigra-viereck,-1904",
"Andrena
trevoris",Mining bee,https://en.wikipedia.org/wiki/Andrena_trevoris,"http://www.beesofcanada.com/species/andrena-trevoris-cockerell,-1897",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-trevoris-cockerell,-1897",
"Andrena
vicinoides",Mining bee,https://en.wikipedia.org/wiki/Andrena_vicinoides,http://www.beesofcanada.com/species/andrena-vicinoides,https://en.wikipedia.org/wiki/Andrena,http://www.beesofcanada.com/species/andrena-vicinoides,
"Andrena
vierecki",Mining bee,https://en.wikipedia.org/wiki/Andrena_vierecki,"http://www.beesofcanada.com/species/andrena-vierecki-cockerell,-1904",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-vierecki-cockerell,-1904",
"Andrena
w-scripta",Mining bee,https://en.wikipedia.org/wiki/Andrena_w-scripta,"http://www.beesofcanada.com/species/andrena-w-scripta-viereck,-1904",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-w-scripta-viereck,-1904",
"Anthaxia
inornata",Metallic wood boring beetles,https://en.wikipedia.org/wiki/Anthaxia_inornata,N/A,https://en.wikipedia.org/wiki/Buprestidae,N/A,
"Anthidium
manicatum",Carder bees,https://en.wikipedia.org/wiki/Anthidium_manicatum,http://www.beesofcanada.com/species/anthidium-manicatum,https://en.wikipedia.org/wiki/Anthidium,http://www.beesofcanada.com/species/anthidium-manicatum,
"Anthidium
tenuiflorae",Carder bees,https://en.wikipedia.org/wiki/Anthidium_tenuiflorae,http://www.beesofcanada.com/species/anthidium-tenuiflorae,https://en.wikipedia.org/wiki/Anthidium,http://www.beesofcanada.com/species/anthidium-tenuiflorae,
"Anthophora
pacifica",Digger bees,https://en.wikipedia.org/wiki/Anthophora_pacifica,"http://www.beesofcanada.com/species/anthophora-pacifica-cresson,-1878",https://en.wikipedia.org/wiki/Anthophorini,"http://www.beesofcanada.com/species/anthophora-pacifica-cresson,-1878",
"Apis
mellifera",Honey bee,https://en.wikipedia.org/wiki/Western_honey_bee,http://www.beesofcanada.com/species/apis-mellifera,https://en.wikipedia.org/wiki/Honey_bee,http://www.beesofcanada.com/species/apis-mellifera,
"Bembix
americana",Sand wasps,https://en.wikipedia.org/wiki/Bembix_americana,N/A,https://en.wikipedia.org/wiki/Bembicini,N/A,
"Bembix
occidentalis",Sand wasps,https://en.wikipedia.org/wiki/Bembix_occidentalis,N/A,https://en.wikipedia.org/wiki/Bembicini,N/A,
"Bombus
appositus",Bumble bees,https://en.wikipedia.org/wiki/Bombus_appositus,http://www.beesofcanada.com/species/bombus-appositus,https://en.wikipedia.org/wiki/Bumblebee,http://www.beesofcanada.com/species/bombus-appositus,
"Bombus
bifarius",Bumble bees,https://en.wikipedia.org/wiki/Bombus_bifarius,N/A,https://en.wikipedia.org/wiki/Bumblebee,N/A,
"Bombus
californicus",Bumble bees,https://en.wikipedia.org/wiki/Bombus_californicus,N/A,https://en.wikipedia.org/wiki/Bumblebee,N/A,
"Bombus
centralis",Bumble bees,https://en.wikipedia.org/wiki/Bombus_centralis,http://www.beesofcanada.com/species/bombus-centralis,https://en.wikipedia.org/wiki/Bumblebee,http://www.beesofcanada.com/species/bombus-centralis,
"Bombus
fervidus",Bumble bees,https://en.wikipedia.org/wiki/Bombus_fervidus,"http://www.beesofcanada.com/species/bombus-fervidus-(fabricius,-1798)",https://en.wikipedia.org/wiki/Bumblebee,"http://www.beesofcanada.com/species/bombus-fervidus-(fabricius,-1798)",
"Bombus
flavifrons",Bumble bees,https://en.wikipedia.org/wiki/Bombus_flavifrons,http://www.beesofcanada.com/species/bombus-flavifrons,https://en.wikipedia.org/wiki/Bumblebee,http://www.beesofcanada.com/species/bombus-flavifrons,
"Bombus
griseocollis",Bumble bees,https://en.wikipedia.org/wiki/Bombus_griseocollis,http://www.beesofcanada.com/species/bombus-griseocollis,https://en.wikipedia.org/wiki/Bumblebee,http://www.beesofcanada.com/species/bombus-griseocollis,
"Bombus
huntii",Bumble bees,https://en.wikipedia.org/wiki/Bombus_huntii,http://www.beesofcanada.com/species/bombus-huntii,https://en.wikipedia.org/wiki/Bumblebee,http://www.beesofcanada.com/species/bombus-huntii,
"Bombus
impatiens",Bumble bees,https://en.wikipedia.org/wiki/Bombus_impatiens,http://www.beesofcanada.com/species/bombus-impatiens,https://en.wikipedia.org/wiki/Bumblebee,http://www.beesofcanada.com/species/bombus-impatiens,
"Bombus
melanopygus",Bumble bees,https://en.wikipedia.org/wiki/Bombus_melanopygus,http://www.beesofcanada.com/species/bombus-melanopygus,https://en.wikipedia.org/wiki/Bumblebee,http://www.beesofcanada.com/species/bombus-melanopygus,
"Bombus
mixtus",Bumble bees,https://en.wikipedia.org/wiki/Bombus_mixtus,http://www.beesofcanada.com/species/bombus-mixtus,https://en.wikipedia.org/wiki/Bumblebee,http://www.beesofcanada.com/species/bombus-mixtus,
"Bombus
nevadensis",Bumble bees,https://en.wikipedia.org/wiki/Bombus_nevadensis,http://www.beesofcanada.com/species/bombus-nevadensis,https://en.wikipedia.org/wiki/Bumblebee,http://www.beesofcanada.com/species/bombus-nevadensis,
"Bombus
occidentalis",Bumble bees,https://en.wikipedia.org/wiki/Bombus_occidentalis,http://www.beesofcanada.com/species/bombus-occidentalis-occidentalis,https://en.wikipedia.org/wiki/Bumblebee,http://www.beesofcanada.com/species/bombus-occidentalis-occidentalis,
"Bombus
sitkensis",Bumble bees,https://en.wikipedia.org/wiki/Bombus_sitkensis,http://www.beesofcanada.com/species/bombus-sitkensis,https://en.wikipedia.org/wiki/Bumblebee,http://www.beesofcanada.com/species/bombus-sitkensis,
"Bombus
vandykei",Bumble bees,https://en.wikipedia.org/wiki/Bombus_vandykei,http://www.beesofcanada.com/species/bombus-vandykei,https://en.wikipedia.org/wiki/Bumblebee,http://www.beesofcanada.com/species/bombus-vandykei,
"Bombus
vosnesenskii",Bumble bees,https://en.wikipedia.org/wiki/Bombus_vosnesenskii,"http://www.beesofcanada.com/species/bombus-vosnesenskii-radoszkowski,-1862",https://en.wikipedia.org/wiki/Bumblebee,"http://www.beesofcanada.com/species/bombus-vosnesenskii-radoszkowski,-1862",
"Bombylius
major",Greater bee flies,https://en.wikipedia.org/wiki/Bombylius_major,N/A,https://en.wikipedia.org/wiki/Bombylius,N/A,
"Bombylius
xanthothrix",Greater bee flies,https://en.wikipedia.org/wiki/Bombylius_xanthothrix,N/A,https://en.wikipedia.org/wiki/Bombylius,N/A,
"Calliphora
aldrichia",Blow flies,https://en.wikipedia.org/wiki/Calliphora,N/A,https://en.wikipedia.org/wiki/Calliphora,N/A,
"Calypte
anna",Hummingbirds,https://en.wikipedia.org/wiki/Anna%27s_hummingbird,N/A,https://en.wikipedia.org/wiki/Hummingbird,N/A,
"Ceratina
acantha",Small carpenter bees,https://en.wikipedia.org/wiki/Ceratina_acantha,"http://www.beesofcanada.com/species/ceratina-acantha-provancher,-1895",https://en.wikipedia.org/wiki/Ceratina,"http://www.beesofcanada.com/species/ceratina-acantha-provancher,-1895",
"Ceratina
micheneri",Small carpenter bees,https://en.wikipedia.org/wiki/Ceratina_micheneri,"http://www.beesofcanada.com/species/ceratina-micheneri-daly,-1973",https://en.wikipedia.org/wiki/Ceratina,"http://www.beesofcanada.com/species/ceratina-micheneri-daly,-1973",
"Ceratina
nanula",Small carpenter bees,https://en.wikipedia.org/wiki/Ceratina_nanula,"http://www.beesofcanada.com/species/ceratina-nanula-cockerell,-1897",https://en.wikipedia.org/wiki/Ceratina,"http://www.beesofcanada.com/species/ceratina-nanula-cockerell,-1897",
"Ceratina
pacifica",Small carpenter bees,https://en.wikipedia.org/wiki/Ceratina_pacifica,http://www.beesofcanada.com/species/ceratina-pacifica,https://en.wikipedia.org/wiki/Ceratina,http://www.beesofcanada.com/species/ceratina-pacifica,
"Cheilosia
rita",Hoverfly,https://en.wikipedia.org/wiki/Ceratina,N/A,https://en.wikipedia.org/wiki/Ceratina,N/A,
"Chrysotoxum
fasciatus",Coloured hoverfly,https://en.wikipedia.org/wiki/Chrysotoxum_fasciatum,N/A,https://en.wikipedia.org/wiki/Chrysotoxum,N/A,
"Coelioxys
rufitarsis",Leafcutter cuckoo bees,https://en.wikipedia.org/wiki/Coelioxys_rufitarsis,"http://www.beesofcanada.com/species/coelioxys-rufitarsis-smith,-1854",https://en.wikipedia.org/wiki/Coelioxys,"http://www.beesofcanada.com/species/coelioxys-rufitarsis-smith,-1854",
"Colletes
consors",Plasterer bees,https://en.wikipedia.org/wiki/Colletes_consors,"http://www.beesofcanada.com/species/colletes-consors-mesocopus-swenk,-1907",https://en.wikipedia.org/wiki/Colletes,"http://www.beesofcanada.com/species/colletes-consors-mesocopus-swenk,-1907",
"Colletes
fulgidus",Plasterer bees,https://en.wikipedia.org/wiki/Colletes_fulgidus,"http://www.beesofcanada.com/species/colletes-fulgidus-fulgidus-swenk,-1904",https://en.wikipedia.org/wiki/Colletes,"http://www.beesofcanada.com/species/colletes-fulgidus-fulgidus-swenk,-1904",
"Colletes
kincaidii",Plasterer bees,https://en.wikipedia.org/wiki/Colletes_kincaidii,"http://www.beesofcanada.com/species/colletes-kincaidii-cockerell,-1898",https://en.wikipedia.org/wiki/Colletes,"http://www.beesofcanada.com/species/colletes-kincaidii-cockerell,-1898",
"Conophorus
columbiensis",Lesser bee flies,https://en.wikipedia.org/wiki/Conophorus_columbiensis,N/A,https://en.wikipedia.org/wiki/Conophorus,N/A,
"Conophorus
sackenii",Lesser bee flies,https://en.wikipedia.org/wiki/Conophorus_sackenii,N/A,https://en.wikipedia.org/wiki/Conophorus,N/A,
"Cortodera
subpilosa",Longhorn beetle,https://en.wikipedia.org/wiki/Cortodera_subpilosa,N/A,https://en.wikipedia.org/wiki/Longhorn_beetle,N/A,
"Dianthidium
subparvum",Resin bee,https://en.wikipedia.org/wiki/Dianthidium_subparvum,http://www.beesofcanada.com/species/dianthidium-subparvum,https://en.wikipedia.org/wiki/Dianthidium,http://www.beesofcanada.com/species/dianthidium-subparvum,
"Dolichovespula
arenaria",Yellowjackets,https://en.wikipedia.org/wiki/Dolichovespula_arenaria,N/A,https://en.wikipedia.org/wiki/Yellowjacket,N/A,
"Dolichovespula
maculata",Yellowjackets,https://en.wikipedia.org/wiki/Bald-faced_hornet,N/A,https://en.wikipedia.org/wiki/Yellowjacket,N/A,
"Dufourea
trochantera",Sweat bees,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/dufourea-trochantera,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/dufourea-trochantera,
"Epalpus
signifer",Tachinid flies,https://en.wikipedia.org/wiki/Epalpus_signifer,N/A,https://en.wikipedia.org/wiki/Tachinidae,N/A,
"Epeolus
minimus",Variegated cuckoo-bees,https://en.wikipedia.org/wiki/Epeolus_minimus,http://www.beesofcanada.com/species/epeolus-minimus,https://en.wikipedia.org/wiki/Epeolus,http://www.beesofcanada.com/species/epeolus-minimus,
"Eriozona
erraticus",Hoverflies,https://en.wikipedia.org/wiki/Hoverfly,N/A,https://en.wikipedia.org/wiki/Hoverfly,N/A,
"Eristalis
anthophorinus",Droneflies,https://en.wikipedia.org/wiki/Eristalis_anthophorina,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A,
"Eristalis
arbustorum",Droneflies,https://en.wikipedia.org/wiki/Eristalis_arbustorum,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A,
"Eristalis
brousii",Droneflies,https://en.wikipedia.org/wiki/Eristalis_brousii,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A,
"Eristalis
dimidiatus",Droneflies,https://en.wikipedia.org/wiki/Eristalis_dimidiata,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A,
"Eristalis
hirtus",Droneflies,https://en.wikipedia.org/wiki/Eristalis_hirta,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A,
"Eristalis
obscurus",Droneflies,https://en.wikipedia.org/wiki/Eristalis_obscura,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A,
"Eristalis
tenax",Droneflies,https://en.wikipedia.org/wiki/Eristalis_tenax,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A,
"Eristalis
transversa",Droneflies,https://en.wikipedia.org/wiki/Eristalis_transversa,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A,
"Erynnis
propertius",Duskywings,https://en.wikipedia.org/wiki/Erynnis_propertius,N/A,https://en.wikipedia.org/wiki/Coniopterygidae,N/A,
"Eucera
edwardsii",Long-horned bees,https://en.wikipedia.org/wiki/Eucera_edwardsii,"http://www.beesofcanada.com/species/eucera-edwardsii-(cresson,-1878)",https://en.wikipedia.org/wiki/Eucera,"http://www.beesofcanada.com/species/eucera-edwardsii-(cresson,-1878)",
"Eucera
frater",Long-horned bees,https://en.wikipedia.org/wiki/Eucera_frater,http://www.beesofcanada.com/species/eucera-frater-lata,https://en.wikipedia.org/wiki/Eucera,http://www.beesofcanada.com/species/eucera-frater-lata,
