New LocID_new,New LocID,Location_Desc,Location_Name,StateCoID,TRS,Details,Elev,Meters?,NS,EW,DecimalLat,DecimalLon,Degree Lat,Degree Lon,UTMZone,UTMEW,UTMNS,LocMeth,DateStamp,LocID,Notes,Biotic Prov,Habitat,Jurisdiction,ProjectID,ProjLoc,Plot,GeoRef
200,-123456978,"Kunezi Farms Oregon (Highbush Blueberry cv Duke)","LOL-Du",3.1300000000000000e+03,,,,0,,,,,"45° 2'47.98""N","122°55'56.87""W",,,,,,,,,,,,,0,
201,-123456979,"Pan American Oregon (Highbush Blueberry cv Liberty)","LOP-L",3.1300000000000000e+03,,,,0,,,,,"45° 0'55.73""N","122°56'40.85""W",,,,,,,,,,,,,0,
202,-123456980,"Pan American Oregon (Highbush Blueberry cv Draper)","LOP-Dr",3.1300000000000000e+03,,,,0,,,,,"45° 1'1.92""N","122°56'34.30""W",,,,,,,,,,,,,0,
203,-123456981,"Pan American Oregon (Highbush Blueberry cv Duke)","LOP-Du",3.1300000000000000e+03,,,,0,,,,,"45° 1'2.53""N","122°56'39.23""W",,,,,,,,,,,,,0,
204,-123456982,"Forest Hills Oregon (Highbush Blueberry cv Liberty)","LOF-L",3.1300000000000000e+03,,,,0,,,,,"45°28'47.22""N","123° 3'32.64""W",,,,,,,,,,,,,0,
205,-123456983,"Forest Hills Oregon (Highbush Blueberry cv Draper)","LOF-Dr",3.1300000000000000e+03,,,,0,,,,,"45°29'0.22""N","123° 1'12.35""W",,,,,,,,,,,,,0,
206,-123456984,"Forest Hills Oregon (Highbush Blueberry cv Duke)","LOF-Du",3.1300000000000000e+03,,,,0,,,,,"45°29'10.73""N","123° 3'28.00""W",,,,,,,,,,,,,0,
207,-123456985,"Meduri Farms Oregon (Highbush Blueberry cv Liberty)","LOJ-L",3.1300000000000000e+03,,,,0,,,,,"44°42'43.39""N","122°57'32.44""W",,,,,,,,,,,,,0,
208,-123456986,"Meduri Farms Oregon (Highbush Blueberry cv Draper)","LOJ-Dr",3.1300000000000000e+03,,,,0,,,,,"44°42'44.80""N","122°57'36.75""W",,,,,,,,,,,,,0,
209,-123456987,"Meduri Farms Oregon (Highbush Blueberry cv Duke)","LOJ-Du",3.1300000000000000e+03,,,,0,,,,,"44°42'40.65""N","122°57'39.71""W",,,,,,,,,,,,,0,
210,-123456988,"Berries North West Oregon (Highbush Blueberry cv Liberty)","LOD-L",3.1300000000000000e+03,,,,0,,,,,"44°43'30.31""N","123° 3'23.26""W",,,,,,,,,,,,,0,
211,-123456989,"Berries North West Oregon (Highbush Blueberry cv Draper)","LOD-Dr",3.1300000000000000e+03,,,,0,,,,,"44°43'28.14""N","123° 3'18.01""W",,,,,,,,,,,,,0,
212,-123456990,"Berreis North West Oregon (Highbush Blueberry cv Duke)","LOD-Du",3.1300000000000000e+03,,,,0,,,,,"44°43'14.21""N","123° 5'8.46""W",,,,,,,,,,,,,0,
213,-123456991,"Lynn Valley, District of North Vancouver","EE",3.1490000000000000e+03,,,,0,,,,,"49° 19'41.25""N","123°02'10.52""W",,,,,,,,,,,,,0,
214,-123456992,"Rathtrevor Beach Provincial Park, Parksville","RBP",3.1490000000000000e+03,,,,0,,,,,"49° 15' 21.2""N","124° 15' 50.5""W",,,,,,,,,,,,,0,
215,-123456993,"Hill 60, ~12 km E of Lake Cowichan","HI",3.1490000000000000e+03,,,,0,,,,,"48° 47' 55.7""N","123° 53' 31.9""W",,,,,,,,,,,,,0,
216,-123456994,"Cowichan Band Reserve, nr. Duncan","CBR",3.1490000000000000e+03,,,,0,,,,,"48° 46' 16.0""N","123° 38' 03.1""W",,,,,,,,,,,,,0,
217,-123456995,"Jack Point Park, Nanaimo","JP",3.1490000000000000e+03,,,,0,,,,,"49° 08' 40.11""N","123° 53' 06.71""W",,,,,,,,,,,,,0,
218,-123456996,"Simon Fraser University, Burnaby","SFU",3.1490000000000000e+03,,,,0,,,,,"49° 16' 39.99""N","122° 55' 11.58""W",,,,,,,,,,,,,0,
219,-123456997,"Kin Beach Provincial Park, Comox","KBP",3.1490000000000000e+03,,,,0,,,,,"49° 43' 40.04""N","124° 53' 53.89""W",,,,,,,,,,,,,0,
220,-123456998,"Anderson Hill Park, Oak Bay","AH",3.1490000000000000e+03,,,,0,,,,,"48°24'45.66""N","123°18'24.01""W",,,,,,,,,,,,,0,
221,-123456999,"Layritz Park, Saanich","LP",3.1490000000000000e+03,,,,0,,,,,"48°29'25.73""N","123°24'45.54""W",,,,,,,,,,,,,0,
222,-123457000,"Tower Point Witty's Lagoon Metchosin CRD","TP",3.1490000000000000e+03,,,,0,,,,," 48°23'1.02""N","123°30'20.91""W",,,,,,,,,,,,,0,
223,-123457001,"Abbotsford F3, Giesbrecht Farm","AbF3",3.1490000000000000e+03,,,,0,,,,,"49°05'17.91""N","122°25'43.23""W",,,,,,,,,,,,,0,
224,-123457002,"Surrey 3, Gill Farm","SR3",3.1490000000000000e+03,,,,0,,,,,"49°05'02.16""N","122°48'13.18""W",,,,,,,,,,,,,0,
225,-123457003,"Pitt Meadows C3, Biln Farm","PtC3",3.1490000000000000e+03,,,,0,,,,,"49°15'15.17""N","122°37'04.90""W",,,,,,,,,,,,,0,
226,-123457004,"Pitt Meadows R4, Thiara Farm","PtR4",3.1490000000000000e+03,,,,0,,,,,"49°13'42.19""N","122°44'54.92""W",,,,,,,,,,,,,0,
227,-123457005,"Abbotsford F1, Onnink Farm (2013)","AbbF1",3.1490000000000000e+03,,,,0,,,,," 49° 4'36.99""N","122°23'16.47""W",,,,,,,,,,,,,0,
228,-123457006,"Abbotsford F2, Harry Farm (2013)","AbbF2",3.1490000000000000e+03,,,,0,,,,," 49° 7'20.51""N","122°27'2.66""W",,,,,,,,,,,,,0,
229,-123457007,"Abbotsford 1, Harman Farm","Ab1",3.1490000000000000e+03,,,,0,,,,," 49° 5'54.46""N","122°18'14.80""W",,,,,,,,,,,,,0,
230,-123457008,"Abbotsford 2, Smith Farm","Ab2",3.1490000000000000e+03,,,,0,,,,," 49° 7'52.13""N","122°15'31.98""W",,,,,,,,,,,,,0,
231,-123457009,"Abbotsford 3, Cheema farm","Ab3",3.1490000000000000e+03,,,,0,,,,," 49° 6'6.54""N","122°15'8.17""W",,,,,,,,,,,,,0,
232,-123457010,"Pitt Meadows R1, Biln-Reichenbach Farm","PtR1",3.1490000000000000e+03,,,,0,,,,," 49°15'11.48""N","122°42'42.94""W",,,,,,,,,,,,,0,
233,-123457011,"Pitt Meadows R2, Gaskin Farm","PtR2",3.1490000000000000e+03,,,,0,,,,," 49°17'4.30""N","122°42'31.47""W",,,,,,,,,,,,,0,
234,-123457012,"Pitt Meadows R3, Thiara Farm","PtR3",3.1490000000000000e+03,,,,0,,,,," 49°13'26.38""N","122°44'54.44""W",,,,,,,,,,,,,0,
235,-123457013,"Pitt Meadows C1, Johal Farm","PtC1",3.1490000000000000e+03,,,,0,,,,," 49°16'3.98""N","122°38'23.84""W",,,,,,,,,,,,,0,
236,-123457014,"Pitt Meadows C2, Randhawa-Dewdney Farm","PtC2",3.1490000000000000e+03,,,,0,,,,," 49°14'21.80""N","122°41'49.85""W",,,,,,,,,,,,,0,
237,-123457015,"Surrey 1, S. Gill Farm","SR1",3.1490000000000000e+03,,,,0,,,,," 49° 5'59.08""N","122°46'21.16""W",,,,,,,,,,,,,0,
238,-123457016,"Surrey 2, Paul Gill Farm","SR2",3.1490000000000000e+03,,,,0,,,,," 49° 5'44.31""N","122°47'43.11""W",,,,,,,,,,,,,0,
239,-123457017,"Delta 1, Randhawa Farm","Del1",3.1490000000000000e+03,,,,0,,,,," 49° 6'26.52""N","122°54'13.69""W",,,,,,,,,,,,,0,
240,-123457018,"Delta 3, Randhawa Farm","Del2",3.1490000000000000e+03,,,,0,,,,," 49° 6'53.52""N","122°55'33.34""W",,,,,,,,,,,,,0,
241,-123457019,"Camassia Natural Area, nr. Oregon City, OR","CAM",2.2000000000000000e+03,,,,0,,,,,"45° 21'40.1""N","122°37'09.0""W",,,,,,,,,,,,,0,
242,-123457020,"Hayward Road, nr. Ellensburg, Kittitas Co. WA","EL-TH",2.9230000000000000e+03,,,,0,,,,,"47° 06'56.4""N","120°42'47.4""W",,,,,,,,,,,,,0,
243,-123457021,"Umptanum Road, nr. Ellensburg Kittitas Co. WA","EL-U",2.9230000000000000e+03,,,,0,,,,,"46° 55'03.3""N","120°35'42.8""W",,,,,,,,,,,,,0,
244,-123457022,"Finley National Wildlife Refuge, nr. Corvallis OR","FNWR",2.1990000000000000e+03,,,,0,,,,,"44° 23'27.1""N","123°18'00.2""W",,,,,,,,,,,,,0,
245,-123457023,"Markleville, South Lake Tahoe, Alpine Co. CA","MV",1.8000000000000000e+02,,,,0,,,,,"38° 41'36.8""N","119°46'04.3""W",,,,,,,,,,,,,0,
246,-123457024,"New Idria, San Benito County, CA","NI",2.1400000000000000e+02,,,,0,,,,,"36° 24'55.7""N","120°40'29.4""W",,,,,,,,,,,,,0,
247,-123457025,"Hwy 97, Quercus/Pine overstory, OR","OAK",3.1300000000000000e+03,,,,0,,,,,"46° 02'07.0""N","120°35'22.6""W",,,,,,,,,,,,,0,
248,-123457026,"Rowland Lake, Hwy 14 nr. White Salmon WA","RL",2.9240000000000000e+03,,,,0,,,,,"45° 42'45.6""N","121°22'52.7""W",,,,,,,,,,,,,0,
249,-123457027,"Trout Creek, Lane Co. OR","TC",2.2170000000000000e+03,,,,0,,,,,"44° 24'02.2""N","122°21'13.9""W",,,,,,,,,,,,,0,
250,-123457028,"Table Rock, Jackson Co. OR","TR",3.1300000000000000e+03,,,,0,,,,,"42° 27'15.7""N","122°57'01.0""W",,,,,,,,,,,,,0,
251,-123457029,"Nanoose Hill","NH",3.1490000000000000e+03,,,,0,,,,,"49° 16'29.0""N","124°09'52.2""W",,,,,,,,,,,,,0,
252,-123457030,"Vedder Mountain, Chilliwack","VED",3.1490000000000000e+03,,,,0,,,,,"49° 03'04.93""N","122°02'26.43""W",,,,,,,,,,,,,0,
253,-123457031,"Elk Mountain, Chilliwack","ELK",3.1490000000000000e+03,,,,0,,,,,"49° 06'52.32""N","121°48'02.70""W",,,,,,,,,,,,,0,
254,-123457032,"Carlos Island","CAR",3.1490000000000000e+03,,,,0,,,,,"49° 09'33.0""N","125°41'49.0""W",,,,,,,,,,,,,0,
255,-123457033,"Mayne Island","MAY",3.1490000000000000e+03,,,,0,,,,,"48° 50'02.86""N","123°19'2.24""W",,,,,,,,,,,,,0,
256,-123457034,"Stanley Park, Rose Garden","STPG",3.1490000000000000e+03,,,,0,,,,,"49° 17'54.9""N","123°08'11.18""W",,,,,,,,,,,,,0,
257,-123457035,"Stanley Park, nr. Beaver Pond","STPN",3.1490000000000000e+03,,,,0,,,,,"49° 18'09.98""N","123°08'12.43""W",,,,,,,,,,,,,0,
258,-123457036,"Metchosin Rd., Boys and Girls Club","MET",3.1490000000000000e+03,,,,0,,,,,"48° 23'39.33""N","123°30'29.90""W",,,,,,,,,,,,,0,
259,-123457037,"Organic farm (cv Duke) Abbotsford","A-O1",3.1490000000000000e+03,,,,0,,,,,"49° 01'05.92""N","122°14'18.79""W",,,,,,,,,,,,,0,
260,-123457038,"Conventional farm (cv Duke) Abbotsford","A-C1",3.1490000000000000e+03,,,,0,,,,,"49° 00'42.78""N","122°20'46.33""W",,,,,,,,,,,,,0,
261,-123457039,"Fishtrap Creek Park, Abbotsford","A-N1",3.1490000000000000e+03,,,,0,,,,,"49° 03'11.06""N","122°21'06.64""W",,,,,,,,,,,,,0,
262,-123457040,"Organic farm (cv Elliott) Abbotsford","NA-O2",3.1490000000000000e+03,,,,0,,,,,"49° 04'51.58""N","122°16'17.89""W",,,,,,,,,,,,,0,
263,-123457041,"Conventional farm (cv Elliott) Abbotsford","NA-C2",3.1490000000000000e+03,,,,0,,,,,"49° 06'49.95""N","122°13'46.55""W",,,,,,,,,,,,,0,
264,-123457042,"Matsqui Trail Regional Park, Abbotsford","NA-N2",3.1490000000000000e+03,,,,0,,,,,"49° 07'40.84""N","122°13'18.84""W",,,,,,,,,,,,,0,
265,-123457043,"Organic farm (cv Bluecrop) Abbotsford","WA-O3",3.1490000000000000e+03,,,,0,,,,,"49° 04'45.51""N","122°26'33.44""W",,,,,,,,,,,,,0,
266,-123457044,"Conventional farm (cv Bluecrop) Abbotsford","WA-C3",3.1490000000000000e+03,,,,0,,,,,"49° 00'58.42""N","122°17'24.31""W",,,,,,,,,,,,,0,
267,-123457045,"Aldergrove Regional Park, Abbotsford","WA-N3",3.1490000000000000e+03,,,,0,,,,,"49° 00'32.55""N","122°27'06.04""W",,,,,,,,,,,,,0,
268,-123457046,"Organic farm (cv Bluecrop) Langley","L-O4",3.1490000000000000e+03,,,,0,,,,,"49° 08'47.44""N","122°34'46.44""W",,,,,,,,,,,,,0,
269,-123457047,"Conventional farm (cv Bluecrop) Surrey","L-C4",3.1490000000000000e+03,,,,0,,,,,"49° 05'34.55""N","122°47'24.51""W",,,,,,,,,,,,,0,
270,-123457048,"Tynehead Regional Park, Surrey","L-N4",3.1490000000000000e+03,,,,0,,,,,"49° 11'01.95""N","122°45'41.36""W",,,,,,,,,,,,,0,
271,-123457049,"Organic farm (cv Bluecrop) Maple Ridge","P-O5",3.1490000000000000e+03,,,,0,,,,,"49° 13'55.15""N","122°39'30.73""W",,,,,,,,,,,,,0,
272,-123457050,"Conventional farm (cv Bluecrop) Pitt Meadows","P-C5",3.1490000000000000e+03,,,,0,,,,,"49° 15'42.02""N","122°42'07.14""W",,,,,,,,,,,,,0,
274,-123457052,"Organic farm (cv Hardyblue) Delta","D-O6",3.1490000000000000e+03,,,,0,,,,,"49° 05'10.30""N","122°58'36.22""W",,,,,,,,,,,,,0,
275,-123457053,"Conventional farm (cv Hardyblue) Delta","D-C6",3.1490000000000000e+03,,,,0,,,,,"49° 04'17.31""N","123°07'05.06""W",,,,,,,,,,,,,0,
276,-123457054,"Boundary Bay Regional Park, Delta","D-N6",3.1490000000000000e+03,,,,0,,,,,"49° 00'50.34""N","123°02'48.00""W",,,,,,,,,,,,,0,
277,-123457055,"Colony Farm Regional Park, Coquitlam","P-N5",3.1490000000000000e+03,,,,0,,,,,"49° 14'25.70""N","122°48'40.93""W",,,,,,,,,,,,,0,
278,-123457056,"Pollinator Pasture, Richmond","RPP",3.1490000000000000e+03,,,,0,,,,,"49° 11'24.91""N","123°05'12.44""W",,,,,,,,,,,,,0,
279,-123457057,"Panorama Park, North Vancouver","Pano",3.1490000000000000e+03,,,,0,,,,,"49° 19'40.48""N","122°56'57.23""W",,,,,,,,,,,,,0,
285,-123457062,"Abbotsford F2, Onnink Farm (2014 and later)","AbF2",3.1490000000000000e+03,,,,0,,,,,"49° 4'36.99""N","123°23'16.47""W",,,,,,,,,,,,,0,
281,-123457058,"Goat Bushu estuary, 18 km NE of Bella Bella","GB",3.1490000000000000e+03,,,,0,,,"52.205749 N","-127.886886 W","52° 12'09.50""N","127°52'55.56""W",,,,,,,,,,,,,0,
282,-123457059,"Beales estuary, 11 km NE of Bella Bella","BEA",3.1490000000000000e+03,,,,0,,,"52.177899 N","-127.982037 W","52° 10'39.25""N","127°58'54.06""W",,,,,,,,,,,,,0,
283,-123457060,"Kunsoot estuary, 9 km E of Bella Bella","KU",3.1490000000000000e+03,,,,0,,,"52.149236 N","-128.008884 W","52° 08'56.33""N","128°00'30.09""W",,,,,,,,,,,,,0,
284,-123457061,"Troupe North estuary, 15 km NE of Bella Bella","TN",3.1490000000000000e+03,,,,0,,,"52.280502 N","-128.022164 W","52° 16'49.70""N","128°01'18.10""W",,,,,,,,,,,,,0,
7,-123456794,"Gore Park, Central Saanich","GP",3.1490000000000000e+03,,,,0,,,"48.566983 N","-123.455510 W",,,,,,,"08/13/07 16:32:00",,,,,,,,0,
8,-123456804,"Oakhaven Park, Central Saanich","OH",3.1490000000000000e+03,,,,0,,,"48.564440 N","-123.447365 W","48° 33' 51""N","123° 26' 52""W",,,,,"08/13/07 16:32:00",,,,,,,,0,
297,-1234567074,"North Bank Habitat Management Area","NB",3.1300000000000000e+03,,,,0,,,"43.317563 N","-123.25108 W","43° 19' 16.49""N","123°15'14.06""W",,,,,,,,,,,,,0,
296,-1234567073,"Popcorn Swale, nr. Sutherlin","PO",3.1300000000000000e+03,,,,0,,,"43.329968 N","-123.33706 W","43° 19' 47.58""N","123° 20'11.89""W",,,,,,,,,,,,,0,
295,-1234567072,"Coburg Ridge, nr. Eugene","CO",3.1300000000000000e+03,,,,0,,,"44.097672 N","-122.99339 W","44° 6' 5.81""N","122° 59'53.35""W",,,,,,,,,,,,,0,
294,-1234567071,"Willow Creek, nr. Eugene","WC",3.1300000000000000e+03,,,,0,,,"44.028456 N","-123.17364 W","44° 1'43.82""N","123° 10'25.40""W",,,,,,,,,,,,,0,
293,-1234567070,"Bellfountain Road, Finley National Wildlife Res.","BR",3.1300000000000000e+03,,,,0,,,"44.404507 N","-123.34627 W","44° 24'18.42""N","123° 20'53.40""W",,,,,,,,,,,,,0,
292,-1234567069,"Bluebird Strip, Finley National Wildlife Reserve","BL",3.1300000000000000e+03,,,,0,,,"44.419072 N","-123.33003 W","44° 25' 7.94""N","123° 19'48.85""W",,,,,,,,,,,,,0,
291,-1234567068,"Jefferson Farm, nr. Jefferson","JF",3.1300000000000000e+03,,,,0,,,"44.785633 N","-123.02541 W","44° 47' 13.52""N","123° 1' 6.49""W",,,,,,,,,,,,,0,
289,-1234567066,"Lacamas Lake Regional Park, nr. Camas","LLa",3.1400000000000000e+03,,,,0,,,"45.601305 N","-122.39864 W","45° 36'6.24""N","122°23'56.26""W",,,,,,,,,,,,,0,
288,-1234567065,"Lacamas Prairie Natural Area Preserve","LC",3.1400000000000000e+03,,,,0,,,"45.641993 N","-122.45951 W","45° 38'30.56""N","122°27'39.03""W",,,,,,,,,,,,,0,
286,-123457063,"Mima Mounds Natural Area Preserve","MO",3.1400000000000000e+03,,,,0,,,"46.906645 N","-123.04968 W","46° 54'20.76""N","123°2'59.57""W",,,,,,,,,,,,,0,
287,-123457064,"Rocky Prairie Natural Area Preserve","RP",3.1400000000000000e+03,,,,0,,,"46.919950 N","-122.85790 W","46° 55'10.46""N","122°51'29.93""W",,,,,,,,,,,,,0,
290,-1234567067,"Kingston Prairie, nr. Stayton","KI",3.1300000000000000e+03,,,,0,,,"44.778790 N","-122.74432 W","44° 46' 37.97""N","122°44'38.71""W",,,,,,,,,,,,,0,
